#   delphi     C(delphi)    Nphi
 5.0000 -0.001234785      1222473
15.0000 -0.000599317      1223985
25.0000  0.000142371      1223057
35.0000  0.000406055      1224511
45.0000 -0.000971434      1225137
55.0000 -0.000104496      1221039
65.0000 -0.000951296      1223648
75.0000 -0.000099354      1226032
85.0000  0.000107673      1223287
95.0000 -0.000507249      1223869
105.0000  0.000209467      1222908
115.0000 -0.000106613      1225130
125.0000 -0.000296440      1221870
135.0000 -0.000226971      1224323
145.0000 -0.000032101      1223341
155.0000 -0.000374051      1222086
165.0000 -0.000132329      1221298
175.0000  0.000289091      1224569
