#   dely     C(y)    Ny
 0.0500 -0.000237303      2842917
 0.1500  0.000081915      2752911
 0.2500 -0.000107413      2590122
 0.3500 -0.000180555      2390237
 0.4500  0.000141465      2162739
 0.5500 -0.000004999      1927693
 0.6500 -0.000370185      1690394
 0.7500 -0.000218702      1453203
 0.8500 -0.000286179      1219786
 0.9500 -0.000089501       985051
 1.0500  0.000006515       760117
 1.1500  0.000408567       546587
 1.2500 -0.000121379       358795
 1.3500 -0.000178440       208897
 1.4500 -0.000215614        99609
 1.5500  0.000316797        32911
 1.6500  0.003330276         5047
 1.7500 -0.001856052           82
 1.8500         -nan            0
 1.9500         -nan            0
