#   delphi     C(delphi)    Nphi
 5.0000 -0.000043257      1224075
15.0000 -0.000777257      1224664
25.0000  0.000774392      1224216
35.0000 -0.000600969      1223838
45.0000 -0.000129118      1222971
55.0000  0.000470541      1225157
65.0000  0.000559911      1223684
75.0000 -0.000159839      1225570
85.0000  0.000003630      1224724
95.0000  0.000034333      1223606
105.0000 -0.000154040      1224183
115.0000  0.000042595      1223832
125.0000  0.000421182      1222588
135.0000  0.000328534      1225678
145.0000 -0.000533880      1224813
155.0000  0.000088442      1222498
165.0000  0.000105928      1222074
175.0000 -0.000022848      1224208
