#   delphi     C(delphi)    Nphi
 5.0000 -0.000323948      1225110
15.0000  0.000092817      1225767
25.0000 -0.000888299      1225111
35.0000 -0.000145559      1224404
45.0000  0.000145672      1223093
55.0000  0.000314659      1223802
65.0000  0.000769960      1222532
75.0000 -0.000216527      1222861
85.0000 -0.000261520      1223032
95.0000  0.000514636      1224172
105.0000  0.000060448      1223938
115.0000 -0.000041597      1222166
125.0000  0.000183580      1223367
135.0000 -0.000267376      1224228
145.0000 -0.000290301      1223725
155.0000 -0.000291462      1222610
165.0000 -0.000351610      1223528
175.0000 -0.000018045      1223865
