#   dely     C(y)    Ny
 0.0500  0.000427637      2842615
 0.1500 -0.000560115      2748653
 0.2500  0.000140834      2592063
 0.3500  0.000037914      2387331
 0.4500 -0.000077865      2164184
 0.5500 -0.000244022      1929551
 0.6500 -0.000163378      1690311
 0.7500  0.000103424      1453581
 0.8500 -0.000361179      1217445
 0.9500  0.000141800       984888
 1.0500 -0.000041868       758997
 1.1500  0.000217830       547615
 1.2500  0.000615697       361295
 1.3500 -0.000333871       209510
 1.4500  0.000351952        99252
 1.5500 -0.000092543        33253
 1.6500 -0.000187199         5092
 1.7500  0.008451209           88
 1.8500         -nan            0
 1.9500         -nan            0
