#   dely     C(y)    Ny
 0.0500  0.000176864      2842332
 0.1500 -0.000153330      2750427
 0.2500 -0.000207287      2588967
 0.3500 -0.000103323      2388577
 0.4500 -0.000098108      2163458
 0.5500  0.000341894      1928655
 0.6500  0.000569199      1691178
 0.7500 -0.000278442      1454067
 0.8500  0.000044203      1217897
 0.9500  0.000018223       982637
 1.0500  0.000171143       759012
 1.1500  0.000276225       548273
 1.2500 -0.000225705       360703
 1.3500 -0.000113806       208988
 1.4500  0.000026505        99963
 1.5500  0.000118788        33048
 1.6500  0.002781618         4949
 1.7500 -0.004642729           91
 1.8500         -nan            0
 1.9500         -nan            0
