#   dely     C(y)    Ny
 0.0500 -0.000054117      2843659
 0.1500 -0.000169178      2749244
 0.2500 -0.000489035      2590363
 0.3500 -0.000470634      2388857
 0.4500  0.000447373      2163104
 0.5500  0.000093455      1928963
 0.6500  0.000360490      1692376
 0.7500 -0.000434767      1453323
 0.8500  0.000340364      1215851
 0.9500  0.000164711       984960
 1.0500 -0.000440852       759166
 1.1500  0.000283194       547687
 1.2500  0.000263365       361922
 1.3500  0.000269850       209650
 1.4500  0.000800425        99802
 1.5500 -0.000500640        33218
 1.6500  0.005998361         5087
 1.7500 -0.018267748           79
 1.8500         -nan            0
 1.9500         -nan            0
