#   dely     C(y)    Ny
 0.0500 -0.000142334      2843653
 0.1500 -0.000672974      2748052
 0.2500 -0.000312682      2591363
 0.3500 -0.000272008      2386545
 0.4500 -0.000460538      2162803
 0.5500 -0.000019229      1929168
 0.6500  0.000082842      1691432
 0.7500  0.000054465      1451981
 0.8500 -0.000278786      1217664
 0.9500 -0.000583870       983240
 1.0500 -0.000353135       758624
 1.1500  0.000266340       548445
 1.2500  0.000115317       362042
 1.3500  0.000281317       209487
 1.4500  0.000009028        99597
 1.5500 -0.000611482        33244
 1.6500 -0.000296039         5127
 1.7500  0.002060400           96
 1.8500         -nan            0
 1.9500         -nan            0
