#   q     Cout       Nout      Cside       Nside       Clong        Nlong
  1.250 -0.534416999  1.000000000  0.527014458  4.000000000  0.916198882  1.000000000
  3.750  0.599169640  3.000000000  0.298682867  1.000000000 -0.060201625  2.000000000
  6.250  0.508476887  3.000000000          nan  0.000000000 -0.214956428  3.000000000
  8.750 -0.837087290  1.000000000 -0.267208499  2.000000000  0.375719014  4.000000000
 11.250  0.184108024  2.000000000  0.000036603  2.000000000  0.725585028  1.000000000
 13.750 -0.320447071  3.000000000  0.033520183  5.000000000 -0.665615229  4.000000000
 16.250  0.476059839  4.000000000  0.390657479  3.000000000  0.668232935  2.000000000
 18.750  0.131847781  5.000000000 -0.002864728  1.000000000 -0.079681697  3.000000000
 21.250 -0.449352731  3.000000000 -0.236851574  3.000000000  0.486815202  6.000000000
 23.750 -0.201461293  1.000000000  0.986960023  1.000000000  0.031413852  3.000000000
 26.250  0.000000000  1.000000000  0.284230134  3.000000000 -0.266790445  1.000000000
 28.750  0.129726288  4.000000000  0.196294312  6.000000000  0.266222208  2.000000000
 31.250  0.288093123  5.000000000  0.030187190  5.000000000  0.166156296  4.000000000
 33.750          nan  0.000000000 -0.006499397  5.000000000 -0.222418258  3.000000000
 36.250 -0.284372771  2.000000000 -0.444820049  5.000000000  0.000000000  1.000000000
 38.750  0.238262264  2.000000000 -0.581384099  3.000000000 -0.256560363  6.000000000
 41.250 -0.117289204  4.000000000 -0.262961053  4.000000000 -0.988755538  1.000000000
 43.750  0.414826018  4.000000000  0.264587731  4.000000000  0.326331155  3.000000000
 46.250 -0.194696422  1.000000000  0.000000000  1.000000000 -0.462618131  4.000000000
 48.750 -0.286701093  3.000000000 -0.989774271  1.000000000 -0.460675682  4.000000000
 51.250  0.993634170  1.000000000 -0.740214153  5.000000000  0.643854038  3.000000000
 53.750  0.360382138  5.000000000  0.000000000  1.000000000 -0.735212892  1.000000000
 56.250 -0.272801425  2.000000000  0.315317449  3.000000000  0.209536764  3.000000000
 58.750 -0.090774215  4.000000000 -0.610223773  1.000000000 -0.140723527  2.000000000
 61.250 -0.398542891  3.000000000  0.448530625  5.000000000 -0.197691731  3.000000000
 63.750          nan  0.000000000  0.000000000  1.000000000 -0.539966527  1.000000000
 66.250 -0.087725446  1.000000000 -0.069938758  6.000000000  0.023815048  3.000000000
 68.750 -0.335027414  2.000000000 -0.013382617  3.000000000 -0.307534653  2.000000000
 71.250 -0.985300115  1.000000000 -0.364555710  3.000000000          nan  0.000000000
 73.750  0.232149186  2.000000000 -0.076729540  4.000000000 -0.204144931  4.000000000
 76.250          nan  0.000000000 -0.437634894  2.000000000  0.256973577  3.000000000
 78.750  0.351020781  2.000000000 -0.938328335  1.000000000 -0.263309971  1.000000000
 81.250 -0.985154568  1.000000000  0.063109122  4.000000000          nan  0.000000000
 83.750          nan  0.000000000  0.036660560  3.000000000  0.005275037  2.000000000
 86.250          nan  0.000000000 -0.190409227  5.000000000 -0.285712261  6.000000000
