#   q     Cout       Nout      Cside       Nside       Clong        Nlong
  1.250  0.550063949  2.000000000  0.000000000  2.000000000  0.123518712  2.000000000
  3.750  0.115925244  5.000000000 -0.000212765  2.000000000  0.000000000  1.000000000
  6.250  0.000000000  1.000000000          nan  0.000000000  0.580051749  1.000000000
  8.750  0.285668972  2.000000000  0.477572231  3.000000000  0.213166236  4.000000000
 11.250 -0.009257867  3.000000000  0.123731477  2.000000000 -0.009257867  3.000000000
 13.750  0.646432956  1.000000000 -0.129791923  3.000000000  0.000000000  2.000000000
 16.250  0.343570537  2.000000000  0.064604131  3.000000000 -0.057546599  4.000000000
 18.750 -0.980128092  1.000000000 -0.173802261  3.000000000  0.000000000  2.000000000
 21.250  0.080765993  4.000000000  0.162767146  2.000000000 -0.090290894  3.000000000
 23.750 -0.137362249  2.000000000  0.364651604  3.000000000 -0.492721488  2.000000000
 26.250 -0.004997617  5.000000000  0.644054341  3.000000000 -0.042063518  1.000000000
 28.750 -0.265557541  3.000000000  0.020897595  4.000000000 -0.057127807  2.000000000
 31.250  0.166848409  3.000000000 -0.025309843  2.000000000  0.179704882  4.000000000
 33.750 -0.044263483  4.000000000 -0.019133190  9.000000000 -0.471798093  3.000000000
 36.250 -0.442253155  2.000000000  0.014198798  4.000000000 -0.872880306  1.000000000
 38.750  0.003927335  3.000000000 -0.826942743  1.000000000 -0.140605713  4.000000000
 41.250  0.236492067  3.000000000 -0.309991657  3.000000000  0.216157899  2.000000000
 43.750 -0.191174131  3.000000000  0.244438181  3.000000000 -0.001087572  3.000000000
 46.250          nan  0.000000000          nan  0.000000000  0.114062498  3.000000000
 48.750          nan  0.000000000  0.133956962  4.000000000  0.261457522  2.000000000
 51.250 -0.277301581  4.000000000  0.132959328  2.000000000  0.056059424  3.000000000
 53.750 -0.463590060  2.000000000  0.228374567  5.000000000 -0.500757186  1.000000000
 56.250 -0.939666193  1.000000000  0.000000000  1.000000000          nan  0.000000000
 58.750 -0.499686872  2.000000000  0.432264631  3.000000000  0.551429843  5.000000000
 61.250  0.000000000  1.000000000 -0.618710331  1.000000000 -0.126164986  7.000000000
 63.750 -0.814107090  1.000000000 -0.433077724  4.000000000  0.642361681  1.000000000
 66.250 -0.329030024  1.000000000 -0.183745757  3.000000000 -0.602573718  3.000000000
 68.750 -0.262339860  2.000000000  0.037252589  1.000000000  0.000000000  1.000000000
 71.250  0.693312802  1.000000000 -0.212473202  3.000000000  0.242128816  4.000000000
 73.750 -0.449216509  2.000000000  0.266762437  4.000000000 -0.196047107  2.000000000
 76.250 -0.000614949  1.000000000  0.001405095  3.000000000  0.263008889  2.000000000
 78.750          nan  0.000000000 -0.034555789  2.000000000 -0.967563821  1.000000000
 81.250 -0.002604493  1.000000000  0.304141768  4.000000000  0.022562407  4.000000000
 83.750 -0.970488532  1.000000000  0.059353223  3.000000000 -0.307155101  3.000000000
 86.250 -0.576884409  2.000000000 -0.318778558  2.000000000 -0.391366904  6.000000000
 88.750          nan  0.000000000 -0.365843138  3.000000000  0.649750332  3.000000000
 91.250 -0.031590688  1.000000000  0.107971951  5.000000000  0.635062670  1.000000000
 93.750  0.865788969  1.000000000  0.067876570  3.000000000          nan  0.000000000
 96.250          nan  0.000000000  0.471580880  2.000000000 -0.824136768  1.000000000
 98.750  0.000000000  1.000000000  0.163419299  5.000000000 -0.826595151  1.000000000
101.250  0.921841259  1.000000000          nan  0.000000000 -0.451055499  2.000000000
103.750  0.000000000  1.000000000 -0.609866346  3.000000000  0.276284505  2.000000000
106.250  0.000000000  2.000000000 -0.127337201  6.000000000 -0.359463726  3.000000000
108.750          nan  0.000000000 -0.164229873  4.000000000 -0.389784820  2.000000000
111.250          nan  0.000000000 -0.385517996  2.000000000 -0.777389101  1.000000000
113.750 -0.038546901  3.000000000  0.305453862  6.000000000          nan  0.000000000
116.250          nan  0.000000000  0.290765052  5.000000000 -0.462044657  3.000000000
118.750          nan  0.000000000  0.335179213  3.000000000  0.977103133  1.000000000
121.250          nan  0.000000000  0.284407621  6.000000000 -0.615673414  1.000000000
123.750  0.000000000  2.000000000 -0.223347689  7.000000000 -0.977019285  1.000000000
126.250 -0.072088826  1.000000000  0.310459647  2.000000000 -0.445881389  3.000000000
128.750  0.857486176  1.000000000  0.227116627  4.000000000          nan  0.000000000
131.250  0.903993535  1.000000000  0.104116469  3.000000000  0.107380110  4.000000000
133.750          nan  0.000000000 -0.005431000  2.000000000  0.386578202  1.000000000
136.250          nan  0.000000000 -0.282195971  6.000000000 -0.582766391  3.000000000
138.750  0.609459297  2.000000000 -0.393160839  5.000000000  0.037700765  1.000000000
141.250 -0.423763224  2.000000000  0.987710677  1.000000000 -0.000243070  1.000000000
143.750  0.299684619  1.000000000  0.697947639  1.000000000 -0.178675370  2.000000000
146.250          nan  0.000000000  0.933522964  1.000000000  0.982431623  1.000000000
148.750  0.154982140  1.000000000  0.450590721  5.000000000 -0.367102247  1.000000000
151.250  0.000459456  1.000000000 -0.122213466  8.000000000          nan  0.000000000
153.750 -0.033944780  1.000000000 -0.050635516  2.000000000  0.207054370  2.000000000
156.250          nan  0.000000000  0.076157145  4.000000000 -0.046486476  1.000000000
158.750 -0.886574084  1.000000000  0.066654464  4.000000000          nan  0.000000000
161.250 -0.983488021  1.000000000 -0.768976159  1.000000000  0.087429697  1.000000000
163.750          nan  0.000000000 -0.043558370  5.000000000          nan  0.000000000
166.250 -0.777698652  1.000000000  0.201032950  4.000000000 -0.058178384  3.000000000
168.750          nan  0.000000000 -0.199644448  5.000000000 -0.157548025  2.000000000
171.250          nan  0.000000000  0.104354734  3.000000000  0.000000000  1.000000000
173.750  0.656518869  2.000000000 -0.199149926  3.000000000 -0.259436086  1.000000000
176.250          nan  0.000000000 -0.076499364  2.000000000 -0.174200241  1.000000000
178.750 -0.830088567  1.000000000  0.046944836  4.000000000 -0.173753950  1.000000000
181.250          nan  0.000000000 -0.212729094  6.000000000 -0.002934350  2.000000000
183.750          nan  0.000000000 -0.086919844  6.000000000          nan  0.000000000
186.250  0.000000000  1.000000000  0.055798370  3.000000000  0.798094046  1.000000000
188.750          nan  0.000000000  0.143385689  3.000000000 -0.009324845  2.000000000
191.250  0.041219216  1.000000000  0.000104313  1.000000000  0.000000000  2.000000000
193.750  0.910344594  1.000000000 -0.023590228  3.000000000  0.111638061  3.000000000
196.250          nan  0.000000000 -0.031662556  4.000000000 -0.367064756  2.000000000
198.750  0.724921005  1.000000000 -0.135481092  4.000000000          nan  0.000000000
201.250 -0.969334893  1.000000000  0.021945552  5.000000000 -0.594121626  1.000000000
203.750          nan  0.000000000 -0.068292713  3.000000000          nan  0.000000000
206.250          nan  0.000000000  0.100478135  1.000000000          nan  0.000000000
208.750  0.111803736  2.000000000  0.420119520  1.000000000          nan  0.000000000
211.250  0.992396163  1.000000000 -0.094078472  3.000000000  0.030644138  2.000000000
213.750          nan  0.000000000  0.000000000  1.000000000 -0.058511539  2.000000000
216.250          nan  0.000000000 -0.131982983  4.000000000  0.000000000  1.000000000
218.750          nan  0.000000000  0.056735280  3.000000000  0.213442630  3.000000000
221.250  0.000000000  2.000000000 -0.017156945  5.000000000          nan  0.000000000
223.750 -0.895552977  1.000000000 -0.104937168  2.000000000 -0.374891635  1.000000000
226.250          nan  0.000000000  0.108147752  2.000000000  0.000000000  2.000000000
228.750          nan  0.000000000  0.557328685  1.000000000 -0.249990407  2.000000000
231.250          nan  0.000000000  0.031260239  5.000000000 -0.051124677  3.000000000
233.750 -0.206480190  1.000000000 -0.354863384  2.000000000 -0.483691802  2.000000000
236.250          nan  0.000000000  0.087038957  1.000000000  0.736965646  1.000000000
238.750          nan  0.000000000  0.480661907  2.000000000          nan  0.000000000
241.250          nan  0.000000000 -0.123469120  3.000000000          nan  0.000000000
243.750          nan  0.000000000 -0.280961980  2.000000000          nan  0.000000000
246.250          nan  0.000000000 -0.172037689  2.000000000          nan  0.000000000
248.750          nan  0.000000000  0.000000000  2.000000000 -0.107014955  2.000000000
251.250          nan  0.000000000  0.013199140  3.000000000 -0.110530854  1.000000000
253.750          nan  0.000000000          nan  0.000000000 -0.033993605  1.000000000
256.250 -0.459758336  2.000000000  0.000000000  1.000000000          nan  0.000000000
258.750          nan  0.000000000          nan  0.000000000  0.000000000  1.000000000
261.250          nan  0.000000000 -0.197894830  1.000000000  0.000000000  2.000000000
263.750          nan  0.000000000  0.049762183  3.000000000          nan  0.000000000
266.250  0.607586469  1.000000000  0.059170488  3.000000000          nan  0.000000000
268.750          nan  0.000000000  0.061994785  2.000000000 -0.005417206  2.000000000
271.250          nan  0.000000000  0.000000000  1.000000000 -0.157972879  1.000000000
