#   q     Cout       Nout      Cside       Nside       Clong        Nlong
  1.250  0.160038705  7.000000000  0.089347363  2.000000000  0.324459629  6.000000000
  3.750  0.231212735  2.000000000  0.141788966  7.000000000 -0.165727891  4.000000000
  6.250  0.000000000  1.000000000  0.436618577  8.000000000  0.108652749  5.000000000
  8.750  0.408076782  5.000000000  0.322121855  2.000000000  0.460164213  5.000000000
 11.250  0.058203362  8.000000000 -0.073954858  6.000000000  0.232880761  4.000000000
 13.750 -0.047638705  5.000000000  0.159711819  4.000000000  0.037224416  7.000000000
 16.250  0.088118382  4.000000000  0.095725782  4.000000000  0.175341573  4.000000000
 18.750  0.654512368  1.000000000  0.330613791  2.000000000  0.888700022  1.000000000
 21.250  0.218467716  2.000000000  0.662228088  4.000000000  0.000000000  1.000000000
 23.750  0.604007836  1.000000000  0.036716637  5.000000000  0.000000000  1.000000000
 26.250  0.024200339  3.000000000  0.521054124  2.000000000  0.696782700  1.000000000
 28.750 -0.215187977  3.000000000  0.859297903  2.000000000  0.467882043  4.000000000
 31.250 -0.944843834  1.000000000  0.069970226  6.000000000  0.231921690  2.000000000
 33.750 -0.107875888  2.000000000 -0.240223529  3.000000000  0.336018042  3.000000000
 36.250  0.898627711  1.000000000 -0.373184234  1.000000000 -0.120476163  6.000000000
 38.750  0.072519656  1.000000000 -0.105680122  2.000000000  0.182973132  3.000000000
 41.250 -0.199660311  2.000000000 -0.049919383  4.000000000  0.362582017  5.000000000
 43.750  0.126513272  2.000000000 -0.187206232  6.000000000 -0.233474139  1.000000000
 46.250          nan  0.000000000 -0.505392982  2.000000000 -0.031073831  2.000000000
 48.750  0.101205317  2.000000000 -0.372723990  2.000000000 -0.855460618  3.000000000
 51.250          nan  0.000000000          nan  0.000000000 -0.201939413  3.000000000
 53.750          nan  0.000000000 -0.942522063  1.000000000 -0.736114860  1.000000000
 56.250  0.248735871  2.000000000 -0.195343395  6.000000000 -0.279795708  3.000000000
 58.750  0.304052244  3.000000000 -0.064178306  3.000000000  0.358528031  3.000000000
 61.250 -0.433212920  2.000000000 -0.223291669  4.000000000  0.489834419  2.000000000
 63.750 -0.022309358  1.000000000 -0.103594244  2.000000000  0.000000000  1.000000000
 66.250  0.852048131  1.000000000 -0.190280856  3.000000000 -0.701774855  1.000000000
 68.750  0.307144414  3.000000000  0.165487583  3.000000000 -0.009897931  3.000000000
 71.250  0.000982744  1.000000000  0.452296337  2.000000000 -0.277936040  3.000000000
 73.750  0.485268583  1.000000000  0.141466421  6.000000000  0.546169166  3.000000000
 76.250  0.031143106  2.000000000 -0.370804513  2.000000000  0.252376935  3.000000000
 78.750          nan  0.000000000 -0.055143998  7.000000000  0.424070742  2.000000000
 81.250          nan  0.000000000 -0.062425330  5.000000000 -0.189347571  2.000000000
 83.750  0.769994231  1.000000000 -0.421138932  2.000000000  0.483366404  1.000000000
 86.250 -0.157156770  3.000000000 -0.964921129  1.000000000  0.187618777  3.000000000
 88.750          nan  0.000000000 -0.126805581  4.000000000  0.581679508  4.000000000
 91.250  0.582023424  3.000000000 -0.115790762  6.000000000 -0.004899221  3.000000000
 93.750 -0.423709756  2.000000000  0.197865928  2.000000000 -0.536138493  4.000000000
 96.250 -0.197881003  1.000000000 -0.365784303  2.000000000  0.000000000  1.000000000
 98.750 -0.252505390  1.000000000  0.000000000  2.000000000  0.968891211  1.000000000
101.250 -0.177083534  2.000000000  0.002150252  4.000000000  0.376619726  1.000000000
103.750 -0.965981163  1.000000000          nan  0.000000000  0.540397720  5.000000000
106.250          nan  0.000000000  0.376907167  5.000000000 -0.126664076  1.000000000
108.750  0.108400988  5.000000000  0.133221353  3.000000000  0.036791874  4.000000000
111.250  0.000000000  1.000000000 -0.649420930  2.000000000 -0.459760759  2.000000000
113.750 -0.690202532  2.000000000          nan  0.000000000 -0.012156985  4.000000000
116.250 -0.745907258  1.000000000 -0.076237720  5.000000000          nan  0.000000000
118.750          nan  0.000000000  0.011930818  6.000000000 -0.031316741  2.000000000
121.250 -0.484103344  1.000000000  0.526824464  5.000000000 -0.278416157  3.000000000
123.750  0.000000000  1.000000000  0.142265087  3.000000000  0.300524382  2.000000000
126.250  0.078568908  2.000000000  0.297373819  4.000000000  0.396195084  4.000000000
128.750  0.879838126  1.000000000 -0.838796758  3.000000000 -0.005059032  2.000000000
131.250          nan  0.000000000  0.452377168  2.000000000 -0.236964524  1.000000000
133.750 -0.329332231  3.000000000 -0.231131919  4.000000000 -0.520956271  1.000000000
