#   q     Cout       Nout      Cside       Nside       Clong        Nlong
  1.250  0.009599972  3.000000000 -0.157008643  4.000000000  0.120554111  6.000000000
  3.750  0.048476113  7.000000000          nan  0.000000000  0.057881228  4.000000000
  6.250  0.318936916  6.000000000  0.404215784  4.000000000  0.221587101  5.000000000
  8.750  0.543004832  4.000000000  0.226519858 11.000000000  0.382480676  4.000000000
 11.250 -0.260532161  1.000000000 -0.195523257  4.000000000 -0.252513037  2.000000000
 13.750 -0.785947177  2.000000000  0.061141735  3.000000000 -0.251776098  6.000000000
 16.250  0.433004382  1.000000000 -0.179791548  2.000000000 -0.473566301  1.000000000
 18.750  0.013580469  4.000000000  0.104561424  3.000000000  0.052855265  2.000000000
 21.250  0.239033465  3.000000000          nan  0.000000000 -0.278153191  3.000000000
 23.750  0.387049965  3.000000000  0.037057797  3.000000000  0.764632842  1.000000000
 26.250  0.000000000  1.000000000  0.439007491  4.000000000 -0.098746887  6.000000000
 28.750  0.287038992  4.000000000 -0.442124612  1.000000000 -0.325947945  5.000000000
 31.250 -0.043341991  5.000000000  0.460868465  2.000000000  0.378398837  2.000000000
 33.750          nan  0.000000000 -0.804747640  2.000000000 -0.241661001  2.000000000
 36.250  0.098578317  3.000000000  0.402971090  3.000000000  0.000000000  1.000000000
 38.750  0.838826462  1.000000000 -0.274938575  6.000000000 -0.735808500  1.000000000
 41.250 -0.010589502  2.000000000  0.035099485  6.000000000 -0.002543977  4.000000000
 43.750  0.050044598  2.000000000  0.636845607  3.000000000 -0.443008346  3.000000000
 46.250 -0.485694410  2.000000000  0.951063318  1.000000000  0.231900952  3.000000000
 48.750  0.429498008  2.000000000 -0.349203134  3.000000000  0.000000000  2.000000000
 51.250 -0.746780226  2.000000000  0.524293527  3.000000000 -0.245787911  2.000000000
 53.750          nan  0.000000000  0.068736466  1.000000000 -0.128487366  2.000000000
 56.250  0.810422263  2.000000000 -0.148526019  1.000000000  0.144188266  2.000000000
 58.750          nan  0.000000000  0.414257212  4.000000000  0.831017848  1.000000000
 61.250  0.000000000  1.000000000 -0.303366949  4.000000000  0.809340137  2.000000000
 63.750  0.534316468  2.000000000  0.109799760  2.000000000  0.626860867  1.000000000
 66.250          nan  0.000000000  0.198818711  1.000000000 -0.410023576  2.000000000
 68.750 -0.101668626  2.000000000 -0.143372849  5.000000000 -0.067423479  2.000000000
 71.250 -0.339327579  2.000000000 -0.453471968  2.000000000  0.119287662  2.000000000
 73.750 -0.965258995  1.000000000 -0.193840898  4.000000000 -0.047698071  3.000000000
 76.250          nan  0.000000000 -0.477645665  2.000000000 -0.011240013  1.000000000
 78.750  0.410746141  2.000000000  0.498318252  3.000000000  0.060119834  1.000000000
 81.250  0.505395855  1.000000000  0.000902898  5.000000000 -0.183775316  2.000000000
 83.750          nan  0.000000000  0.000000000  1.000000000 -0.363887055  2.000000000
 86.250 -0.754011482  1.000000000  0.145703013  7.000000000 -0.627121337  1.000000000
 88.750          nan  0.000000000  0.612542947  3.000000000 -0.348370072  4.000000000
 91.250  0.547535779  1.000000000 -0.024862059  6.000000000 -0.185981821  2.000000000
 93.750  0.850074261  1.000000000  0.105717807  8.000000000 -0.508938900  2.000000000
 96.250          nan  0.000000000 -0.032374638  6.000000000 -0.841459450  1.000000000
 98.750          nan  0.000000000 -0.190568302  7.000000000 -0.180047120  4.000000000
101.250 -0.245077615  5.000000000 -0.128352449  3.000000000  0.543264373  2.000000000
103.750 -0.617601921  3.000000000 -0.470137637  2.000000000  0.338009861  2.000000000
106.250  0.000000000  1.000000000 -0.189831072  6.000000000 -0.303874887  3.000000000
108.750  0.965339692  1.000000000  0.228433229  3.000000000          nan  0.000000000
111.250          nan  0.000000000  0.000000000  2.000000000  0.000000000  2.000000000
113.750  0.173557645  2.000000000  0.121997165  5.000000000  0.137848387  2.000000000
116.250 -0.960751903  2.000000000 -0.461594235  4.000000000  0.301566167  2.000000000
118.750          nan  0.000000000  0.000000000  3.000000000  0.488875235  2.000000000
121.250  0.000000000  1.000000000  0.799547883  1.000000000  0.489008278  2.000000000
