#   q     Cout       Nout      Cside       Nside       Clong        Nlong
201.250          nan  0.000000000  0.000000000  3.000000000  0.013705934  3.000000000
203.750          nan  0.000000000 -0.186589820  3.000000000          nan  0.000000000
206.250          nan  0.000000000 -0.000121490  1.000000000  0.112580565  2.000000000
208.750          nan  0.000000000 -0.293068993  1.000000000 -0.293591997  2.000000000
211.250 -0.820043356  1.000000000 -0.511152955  2.000000000  0.286832162  1.000000000
213.750  0.226642466  1.000000000  0.037383772  3.000000000 -0.258918531  2.000000000
216.250  0.922504471  1.000000000  0.373344885  2.000000000          nan  0.000000000
218.750          nan  0.000000000 -0.516982228  2.000000000  0.619120608  1.000000000
221.250 -0.721489638  1.000000000  0.299259831  1.000000000  0.205492725  1.000000000
223.750          nan  0.000000000 -0.081306304  2.000000000 -0.165940043  4.000000000
226.250  0.014799198  2.000000000 -0.109842738  3.000000000          nan  0.000000000
228.750          nan  0.000000000 -0.075638887  4.000000000 -0.500729353  1.000000000
231.250 -0.124305549  1.000000000 -0.312330311  1.000000000 -0.560715587  1.000000000
233.750          nan  0.000000000 -0.000015242  3.000000000  0.000000000  3.000000000
236.250          nan  0.000000000 -0.159537832  2.000000000          nan  0.000000000
238.750  0.000000000  1.000000000 -0.111446470  2.000000000 -0.094989340  1.000000000
241.250          nan  0.000000000  0.299521569  1.000000000  0.595198651  1.000000000
243.750 -0.925050349  1.000000000  0.048397878  2.000000000 -0.302598677  2.000000000
246.250  0.620810769  1.000000000  0.162813319  3.000000000          nan  0.000000000
248.750          nan  0.000000000 -0.001052797  1.000000000          nan  0.000000000
251.250 -0.342896336  2.000000000          nan  0.000000000  0.134777309  2.000000000
253.750          nan  0.000000000  0.000000000  1.000000000          nan  0.000000000
256.250          nan  0.000000000          nan  0.000000000 -0.244192872  1.000000000
258.750 -0.085543622  1.000000000          nan  0.000000000  0.000000000  1.000000000
261.250          nan  0.000000000  0.000000000  1.000000000 -0.092815592  2.000000000
263.750  0.096913087  1.000000000 -0.307053356  4.000000000  0.109705518  1.000000000
266.250          nan  0.000000000  0.140063637  3.000000000  0.000000000  2.000000000
268.750  0.191240200  2.000000000          nan  0.000000000 -0.037988855  1.000000000
271.250          nan  0.000000000  0.423627902  2.000000000          nan  0.000000000
273.750 -0.863892971  1.000000000          nan  0.000000000  0.104342537  2.000000000
276.250 -0.601848134  1.000000000 -0.074303101  2.000000000          nan  0.000000000
278.750          nan  0.000000000  0.158951208  1.000000000  0.151897355  4.000000000
281.250  0.000000000  1.000000000 -0.210897009  3.000000000          nan  0.000000000
283.750          nan  0.000000000          nan  0.000000000          nan  0.000000000
286.250  0.000007717  1.000000000          nan  0.000000000  0.000000000  1.000000000
288.750          nan  0.000000000          nan  0.000000000  0.366445553  1.000000000
291.250  0.000000000  1.000000000          nan  0.000000000  0.000000000  1.000000000
293.750  0.463122111  1.000000000          nan  0.000000000 -0.192202708  1.000000000
296.250          nan  0.000000000 -0.009288731  1.000000000  0.000000000  1.000000000
298.750          nan  0.000000000 -0.050065735  1.000000000          nan  0.000000000
301.250          nan  0.000000000 -0.087096750  2.000000000          nan  0.000000000
303.750          nan  0.000000000          nan  0.000000000 -0.148943319  1.000000000
306.250          nan  0.000000000  0.000000000  1.000000000          nan  0.000000000
308.750 -0.048092975  1.000000000  0.291895501  4.000000000          nan  0.000000000
311.250 -0.248819989  3.000000000  0.111218382  1.000000000  0.531895482  1.000000000
313.750 -0.793487579  1.000000000  0.354970050  2.000000000 -0.764439424  1.000000000
316.250          nan  0.000000000 -0.171576787  2.000000000  0.089171800  1.000000000
318.750  0.000000000  1.000000000 -0.139974791  3.000000000          nan  0.000000000
321.250          nan  0.000000000          nan  0.000000000 -0.415707952  2.000000000
323.750          nan  0.000000000          nan  0.000000000          nan  0.000000000
326.250          nan  0.000000000          nan  0.000000000          nan  0.000000000
328.750          nan  0.000000000 -0.674359904  1.000000000          nan  0.000000000
331.250          nan  0.000000000  0.056669181  2.000000000          nan  0.000000000
333.750          nan  0.000000000          nan  0.000000000          nan  0.000000000
336.250 -0.102078775  1.000000000          nan  0.000000000          nan  0.000000000
338.750 -0.481832871  1.000000000          nan  0.000000000          nan  0.000000000
341.250  0.548284562  1.000000000          nan  0.000000000          nan  0.000000000
343.750  0.594378631  1.000000000          nan  0.000000000 -0.742496362  1.000000000
346.250          nan  0.000000000  0.134394109  1.000000000  0.260155345  1.000000000
