#   delphi     C(delphi)    Nphi
 5.0000  0.000971844      1224113
15.0000  0.000347897      1224043
25.0000  0.000365637      1225471
35.0000  0.000040224      1224986
45.0000  0.000027407      1225884
55.0000 -0.000069410      1224941
65.0000  0.000180776      1223406
75.0000 -0.000045876      1223462
85.0000  0.000103505      1223621
95.0000  0.000080463      1222834
105.0000  0.000019214      1225879
115.0000  0.000248101      1226769
125.0000  0.000163928      1224435
135.0000 -0.000063605      1226226
145.0000 -0.000077929      1225117
155.0000 -0.000129922      1222431
165.0000 -0.000095406      1223281
175.0000  0.000085124      1223735
