#   dely     C(y)    Ny
 0.0500  0.000369230      2842022
 0.1500  0.000110849      2751578
 0.2500 -0.000042573      2593026
 0.3500  0.000105267      2389462
 0.4500  0.000159166      2162878
 0.5500  0.000138165      1926559
 0.6500  0.000066564      1692828
 0.7500  0.000014479      1453565
 0.8500  0.000027948      1216699
 0.9500  0.000013631       983470
 1.0500  0.000115211       757655
 1.1500  0.000059865       547679
 1.2500  0.000049912       360702
 1.3500 -0.000315106       210076
 1.4500 -0.000400990        99806
 1.5500  0.000224728        32691
 1.6500 -0.000253614         5058
 1.7500  0.001930137           80
 1.8500         -nan            0
 1.9500         -nan            0
