#   dely     C(y)    Ny
 0.0500  0.000372519      2842904
 0.1500  0.000153635      2750695
 0.2500  0.000091577      2590906
 0.3500  0.000096426      2386417
 0.4500  0.000090546      2163842
 0.5500 -0.000002405      1927961
 0.6500 -0.000162621      1691624
 0.7500  0.000200840      1452859
 0.8500 -0.000074939      1216905
 0.9500 -0.000070923       984809
 1.0500  0.000042515       759743
 1.1500 -0.000014163       549557
 1.2500  0.000301856       360560
 1.3500  0.000175817       209646
 1.4500  0.000628401        99760
 1.5500 -0.000457989        32760
 1.6500  0.001362754         5044
 1.7500  0.014273320           97
 1.8500         -nan            0
 1.9500         -nan            0
