#   delphi     C(delphi)    Nphi
 5.0000  0.001027212      1223907
15.0000  0.000388382      1223631
25.0000  0.000095087      1227164
35.0000  0.000063419      1223420
45.0000  0.000108524      1224589
55.0000  0.000072402      1224848
65.0000 -0.000100391      1225370
75.0000  0.000079026      1223160
85.0000  0.000050918      1224047
95.0000 -0.000060083      1221363
105.0000 -0.000120157      1224648
115.0000  0.000079524      1222499
125.0000  0.000000408      1224356
135.0000 -0.000055960      1222643
145.0000 -0.000001914      1223752
155.0000 -0.000003749      1223840
165.0000 -0.000032104      1223908
175.0000 -0.000007864      1223749
