#   delphi     C(delphi)    Nphi
 5.0000  0.001005496      1223210
15.0000  0.000197466      1223535
25.0000  0.000161976      1224352
35.0000  0.000025647      1222622
45.0000  0.000080658      1221203
55.0000 -0.000068767      1224005
65.0000 -0.000101509      1225469
75.0000  0.000004683      1224346
85.0000  0.000046335      1225078
95.0000 -0.000032679      1225929
105.0000 -0.000168418      1222873
115.0000  0.000073310      1223537
125.0000 -0.000016457      1224250
135.0000  0.000032599      1223095
145.0000 -0.000087285      1224454
155.0000 -0.000147105      1222850
165.0000  0.000003017      1221841
175.0000  0.000046752      1222340
