#   delphi     C(delphi)    Nphi
 5.0000  0.000983304      1223256
15.0000  0.000179101      1223385
25.0000  0.000267658      1223968
35.0000  0.000136037      1223747
45.0000  0.000022919      1224430
55.0000  0.000099616      1224249
65.0000  0.000119764      1226253
75.0000 -0.000085685      1223141
85.0000  0.000118919      1222846
95.0000  0.000189479      1223099
105.0000 -0.000062208      1222458
115.0000  0.000017960      1222663
125.0000  0.000069173      1221228
135.0000  0.000056844      1223036
145.0000  0.000226231      1222200
155.0000  0.000038670      1223461
165.0000 -0.000031299      1224458
175.0000 -0.000064109      1222280
