#   dely     C(y)    Ny
 0.0500  0.000428377      2843009
 0.1500  0.000200076      2750538
 0.2500  0.000108945      2591083
 0.3500  0.000105503      2387011
 0.4500  0.000038008      2162641
 0.5500  0.000039668      1929648
 0.6500  0.000002067      1690824
 0.7500 -0.000030076      1453629
 0.8500  0.000064316      1218324
 0.9500 -0.000071497       986036
 1.0500  0.000021117       759634
 1.1500 -0.000007680       548465
 1.2500  0.000199661       361384
 1.3500  0.000220261       209273
 1.4500  0.000039384        99761
 1.5500  0.000007111        33358
 1.6500  0.002326973         5087
 1.7500  0.000012215           90
 1.8500         -nan            0
 1.9500         -nan            0
