#   dely     C(y)    Ny
 0.0500  0.000361932      2843362
 0.1500  0.000121026      2749273
 0.2500  0.000021416      2588646
 0.3500  0.000090236      2387843
 0.4500  0.000042708      2162405
 0.5500  0.000016048      1929385
 0.6500 -0.000081721      1691389
 0.7500 -0.000088804      1454761
 0.8500 -0.000047293      1216887
 0.9500 -0.000096413       983819
 1.0500 -0.000099135       759739
 1.1500  0.000032431       547763
 1.2500 -0.000037377       361879
 1.3500 -0.000039108       209147
 1.4500  0.000313178       100533
 1.5500  0.000151550        32979
 1.6500 -0.000443711         5097
 1.7500 -0.001176930           82
 1.8500         -nan            0
 1.9500         -nan            0
