#   dely     C(y)    Ny
 0.0500  0.000306510       300508
 0.1500  0.000194204       290003
 0.2500 -0.000102425       271396
 0.3500  0.000033562       248704
 0.4500 -0.000285270       222875
 0.5500 -0.000019609       197200
 0.6500  0.000185414       170806
 0.7500  0.000072147       144917
 0.8500  0.000036611       118869
 0.9500  0.000063733        92803
 1.0500  0.000131350        68828
 1.1500  0.000246860        46387
 1.2500 -0.000102190        27488
 1.3500  0.000361909        14007
 1.4500 -0.000272494         5194
 1.5500 -0.001500434         1207
 1.6500  0.006832388           92
 1.7500         -nan            0
 1.8500         -nan            0
 1.9500         -nan            0
