#   delphi     C(delphi)    Nphi
 5.0000  0.000836819       123384
15.0000  0.000351287       123482
25.0000  0.000411022       124130
35.0000  0.000062859       123263
45.0000 -0.000451325       123210
55.0000 -0.000154823       123016
65.0000 -0.000569707       123474
75.0000  0.000282139       123007
85.0000 -0.000399146       123453
95.0000  0.000198451       123568
105.0000 -0.000129756       123252
115.0000 -0.000006892       123561
125.0000  0.000022729       122597
135.0000 -0.000261257       123439
145.0000  0.000007883       123152
155.0000 -0.000090333       123253
165.0000  0.000133645       122183
175.0000 -0.000224518       123151
