#   delphi     C(delphi)    Nphi
 5.0000  0.000776236       123578
15.0000  0.000332280       123441
25.0000  0.000109250       123297
35.0000 -0.000443665       123689
45.0000 -0.000283676       122930
55.0000  0.000075262       124000
65.0000  0.000147930       123422
75.0000  0.000152594       123484
85.0000  0.000240938       123117
95.0000  0.000335509       123865
105.0000  0.000127823       123627
115.0000  0.000004055       123690
125.0000  0.000010111       123328
135.0000 -0.000019709       123751
145.0000 -0.000201974       123502
155.0000  0.000246815       123023
165.0000  0.000094960       123698
175.0000  0.000203112       123403
