   0.05   0.00035688 7207665.00000000   0.00002955
   0.15   0.00016133 6954898.00000000   0.00002200
   0.25   0.00007098 6508198.00000000   0.00004047
   0.35   0.00001644 5962624.00000000   0.00003727
   0.45   0.00000308 5349037.00000000   0.00003643
   0.55   0.00000422 4726515.00000000   0.00003981
   0.65  -0.00000093 4102422.00000000   0.00004351
   0.75  -0.00009250 3472271.00000000   0.00004715
   0.85  -0.00006326 2847090.00000000   0.00005576
   0.95   0.00001941 2233614.00000000   0.00006052
   1.05   0.00003202 1648846.00000000   0.00005684
   1.15   0.00001901 1114099.00000000   0.00007199
   1.25   0.00006178 667448.00000000   0.00007741
   1.35   0.00026541 333794.00000000   0.00011225
   1.45   0.00030630 126531.00000000   0.00018125
   1.55  -0.00054706 28676.00000000   0.00051090
   1.65  -0.00015440 2257.00000000   0.00157594
   1.75   0.00000000   7.00000000   0.00000000
   1.85   0.00000000   0.00000000   0.00000000
   1.95   0.00000000   0.00000000   0.00000000
