#   dely     C(y)    Ny
 0.0500  0.000060755       300090
 0.1500  0.000253997       289730
 0.2500  0.000001004       270572
 0.3500  0.000032232       248281
 0.4500  0.000139833       223431
 0.5500 -0.000029567       197199
 0.6500 -0.000332205       171255
 0.7500 -0.000031653       144163
 0.8500  0.000158295       118630
 0.9500  0.000143316        93261
 1.0500  0.000226619        68496
 1.1500 -0.000291456        46638
 1.2500 -0.000274796        28020
 1.3500 -0.000201151        13805
 1.4500 -0.000783843         5248
 1.5500 -0.003423479         1172
 1.6500  0.000069701          101
 1.7500  0.000000000            1
 1.8500         -nan            0
 1.9500         -nan            0
