#   dely     C(y)    Ny
 0.0500  0.000337172       300833
 0.1500  0.000182643       290414
 0.2500 -0.000352346       270580
 0.3500 -0.000089136       247873
 0.4500 -0.000077823       223530
 0.5500 -0.000274830       195905
 0.6500 -0.000133762       170160
 0.7500  0.000233180       144330
 0.8500  0.000332408       118501
 0.9500  0.000032648        92999
 1.0500  0.000029574        68966
 1.1500 -0.000735536        46506
 1.2500  0.000345088        27729
 1.3500  0.000140789        13852
 1.4500  0.000381979         5165
 1.5500  0.000412993         1138
 1.6500  0.017609555           93
 1.7500  0.000000000            1
 1.8500         -nan            0
 1.9500         -nan            0
