   5.00   0.00085680 2959665.00000000   0.00004915
  15.00   0.00021939 2959177.00000000   0.00004884
  25.00   0.00011093 2963608.00000000   0.00004376
  35.00   0.00003026 2961848.00000000   0.00005971
  45.00  -0.00002872 2961632.00000000   0.00005532
  55.00   0.00008526 2962402.00000000   0.00004614
  65.00  -0.00003859 2958284.00000000   0.00005615
  75.00   0.00006361 2958100.00000000   0.00004075
  85.00   0.00002487 2958915.00000000   0.00005261
  95.00   0.00005805 2961606.00000000   0.00006288
 105.00   0.00003687 2962803.00000000   0.00004005
 115.00   0.00007644 2959603.00000000   0.00004099
 125.00  -0.00002037 2960578.00000000   0.00004553
 135.00  -0.00003286 2958168.00000000   0.00004971
 145.00  -0.00002480 2959792.00000000   0.00004861
 155.00   0.00002484 2960340.00000000   0.00003665
 165.00  -0.00004208 2959515.00000000   0.00004750
 175.00  -0.00002991 2959956.00000000   0.00005201
