#   delphi     C(delphi)    Nphi
 5.0000  0.001098357       123324
15.0000  0.000490269       123229
25.0000 -0.000028286       123459
35.0000  0.000128361       123325
45.0000  0.000078708       123466
55.0000  0.000543741       123190
65.0000  0.000168877       124377
75.0000  0.000123257       122969
85.0000  0.000091406       123590
95.0000  0.000086715       123361
105.0000 -0.000222900       124057
115.0000  0.000118671       123414
125.0000  0.000058513       123522
135.0000 -0.000242762       123489
145.0000 -0.000151595       123502
155.0000 -0.000148498       122952
165.0000  0.000008218       122867
175.0000  0.000128511       123526
