#   delphi     C(delphi)    Nphi
 5.0000  0.000819686       123089
15.0000 -0.000124473       123214
25.0000  0.000265536       123254
35.0000 -0.000104686       123547
45.0000 -0.000487823       123192
55.0000  0.000042153       122753
65.0000 -0.000018951       122988
75.0000  0.000167407       122981
85.0000  0.000127117       123358
95.0000 -0.000081224       123543
105.0000  0.000012927       123719
115.0000  0.000168495       123270
125.0000 -0.000145683       122920
135.0000 -0.000504253       122955
145.0000  0.000240089       122946
155.0000  0.000062161       123483
165.0000 -0.000129197       122714
175.0000 -0.000342445       123490
