  2.50   0.4290737   1.0047253   0.7767463   2.5632085   2.1432602   2.0797351
  7.50  -0.0830665   0.2382460   0.1832545   0.5505772   0.6416955   0.5961550
 12.50  -0.0956060   0.0910930   0.0693785   0.0737640   0.2928383   0.2227943
 17.50  -0.0504912   0.0452037   0.0356345  -0.0465384   0.1611373   0.0550040
 22.50  -0.0199763   0.0260142   0.0218130  -0.0534847   0.0959617   0.0003994
 27.50  -0.0054823   0.0163663   0.0146377  -0.0305684   0.0604554  -0.0046604
 32.50   0.0001977   0.0112532   0.0102130  -0.0077419   0.0399408   0.0052162
 37.50   0.0017041   0.0080164   0.0075262   0.0050296   0.0272397   0.0113421
 42.50   0.0017640   0.0060687   0.0057465   0.0097366   0.0199667   0.0149740
 47.50   0.0015025   0.0046769   0.0044360   0.0109171   0.0152282   0.0143714
 52.50   0.0012641   0.0036733   0.0036572   0.0098912   0.0118310   0.0123167
 57.50   0.0010160   0.0029559   0.0028454   0.0088119   0.0091713   0.0115754
 62.50   0.0008391   0.0023922   0.0024345   0.0069418   0.0077984   0.0094461
 67.50   0.0007063   0.0019820   0.0019588   0.0059967   0.0065708   0.0090011
 72.50   0.0005714   0.0016364   0.0016344   0.0051503   0.0051528   0.0074513
 77.50   0.0005045   0.0013706   0.0013490   0.0040471   0.0042790   0.0065541
 82.50   0.0004640   0.0011214   0.0011680   0.0032315   0.0036519   0.0057893
 87.50   0.0003743   0.0009536   0.0009344   0.0026798   0.0029620   0.0059501
 92.50   0.0003331   0.0007723   0.0007736   0.0023142   0.0025302   0.0054032
 97.50   0.0002991   0.0006493   0.0006393   0.0018917   0.0021267   0.0046235
102.50   0.0002642   0.0005416   0.0005578   0.0015523   0.0018671   0.0044369
107.50   0.0002145   0.0004789   0.0004735   0.0013244   0.0016740   0.0040899
112.50   0.0001905   0.0003910   0.0003710   0.0011974   0.0013233   0.0029019
117.50   0.0001632   0.0003224   0.0003431   0.0012707   0.0011270   0.0024371
122.50   0.0001831   0.0002480   0.0002545   0.0010038   0.0010691   0.0028140
127.50   0.0001818   0.0002168   0.0001994   0.0009361   0.0007285   0.0025283
132.50   0.0001715   0.0001830   0.0001969   0.0006274   0.0006453   0.0020280
137.50   0.0001571   0.0001391   0.0001388   0.0006437   0.0006612   0.0019353
142.50   0.0001346   0.0001330   0.0001069   0.0003178   0.0005870   0.0018840
147.50   0.0001040   0.0000689   0.0000816   0.0003729   0.0004475   0.0016908
152.50   0.0001092   0.0000702   0.0000848   0.0004260   0.0003298   0.0013990
157.50   0.0001089   0.0000162   0.0000725   0.0003414   0.0003020   0.0013190
162.50   0.0001058   0.0000135   0.0000328   0.0003277   0.0003073   0.0017160
167.50   0.0000892  -0.0000015  -0.0000016   0.0002718   0.0002310   0.0014856
172.50   0.0000704  -0.0000045  -0.0000162   0.0001517   0.0002001   0.0010385
177.50   0.0000674  -0.0000182  -0.0000249   0.0002127   0.0001804   0.0009967
182.50   0.0000877  -0.0000256  -0.0000228   0.0001504   0.0001780   0.0012837
187.50   0.0000629  -0.0000358  -0.0000588   0.0000613   0.0000817   0.0013167
192.50   0.0000789  -0.0000280  -0.0000437   0.0000091   0.0000985   0.0007784
197.50   0.0000745  -0.0000345  -0.0000328   0.0000881   0.0000418   0.0007494
202.50  -0.0000380  -0.0001624  -0.0001242  -0.0001538  -0.0002067  -0.0000181
207.50  -0.0001136  -0.0002474  -0.0001562  -0.0004777  -0.0003349  -0.0002225
212.50  -0.0000946  -0.0002289  -0.0001652  -0.0004244  -0.0003160  -0.0001196
217.50  -0.0001081  -0.0002296  -0.0001591  -0.0004060  -0.0003272   0.0000227
222.50  -0.0000916  -0.0002164  -0.0001405  -0.0003728  -0.0003178  -0.0002113
227.50  -0.0000846  -0.0002141  -0.0001578  -0.0003549  -0.0002732  -0.0002462
232.50  -0.0000865  -0.0002117  -0.0001494  -0.0004202  -0.0002900  -0.0003349
237.50  -0.0000884  -0.0002160  -0.0001625  -0.0003690  -0.0002760  -0.0003453
242.50  -0.0000694  -0.0001910  -0.0001248  -0.0003021  -0.0003442  -0.0000502
247.50  -0.0000662  -0.0002012  -0.0001440  -0.0002887  -0.0002536  -0.0002108
