#   delphi     C(delphi)    Nphi
 5.0000         -nan            0
15.0000         -nan            0
25.0000         -nan            0
35.0000         -nan            0
45.0000         -nan            0
55.0000         -nan            0
65.0000         -nan            0
75.0000         -nan            0
85.0000         -nan            0
95.0000         -nan            0
105.0000         -nan            0
115.0000         -nan            0
125.0000         -nan            0
135.0000         -nan            0
145.0000         -nan            0
155.0000         -nan            0
165.0000         -nan            0
175.0000         -nan            0
