#   delphi     C(delphi)    Nphi
 5.0000 -0.000141680      1224931
15.0000  0.000291482      1225546
25.0000  0.000238339      1225995
35.0000 -0.000057114      1224653
45.0000  0.000417497      1224271
55.0000 -0.000334004      1224220
65.0000 -0.000039622      1224044
75.0000 -0.000322339      1223301
85.0000 -0.000187469      1224025
95.0000  0.000158703      1224066
105.0000 -0.000089699      1224580
115.0000  0.000092327      1225503
125.0000  0.000047925      1222717
135.0000 -0.000001502      1225024
145.0000  0.000305941      1223097
155.0000 -0.000008411      1222423
165.0000 -0.000106972      1226220
175.0000  0.000094637      1224272
