#   delphi     C(delphi)    Nphi
 5.0000 -0.000152302      1225297
15.0000 -0.000467522      1224782
25.0000  0.000160933      1225156
35.0000 -0.000599061      1222001
45.0000 -0.000042761      1223878
55.0000  0.000004871      1223921
65.0000 -0.000362934      1222539
75.0000 -0.000185556      1223049
85.0000  0.000029505      1225666
95.0000  0.000019288      1224413
105.0000 -0.000231478      1221749
115.0000  0.000085159      1221858
125.0000 -0.000111993      1221956
135.0000 -0.000144811      1224285
145.0000 -0.000133744      1223072
155.0000 -0.000141353      1224305
165.0000 -0.000200851      1223980
175.0000  0.000077441      1224182
