   0.05  -0.00002227 68240686.00000000   0.00003806
   0.15  -0.00016863 66008870.00000000   0.00003480
   0.25  -0.00004239 62160905.00000000   0.00002830
   0.35  -0.00003463 57333517.00000000   0.00002961
   0.45  -0.00001168 51925410.00000000   0.00003341
   0.55  -0.00002543 46287391.00000000   0.00002575
   0.65  -0.00003426 40593353.00000000   0.00003765
   0.75  -0.00001613 34886191.00000000   0.00003470
   0.85  -0.00002326 29212625.00000000   0.00003387
   0.95  -0.00004772 23623516.00000000   0.00004236
   1.05   0.00003115 18215695.00000000   0.00003370
   1.15   0.00003444 13161543.00000000   0.00003203
   1.25   0.00003671 8672619.00000000   0.00002793
   1.35  -0.00000093 5032770.00000000   0.00003466
   1.45  -0.00001377 2394332.00000000   0.00005685
   1.55   0.00005370 793808.00000000   0.00006346
   1.65   0.00004815 120969.00000000   0.00024667
   1.75   0.00011735 2098.00000000   0.00172648
   1.85   0.00000000   0.00000000   0.00000000
   1.95   0.00000000   0.00000000   0.00000000
