#   delphi     C(delphi)    Nphi
 5.0000  0.000276304      1223047
15.0000  0.000085431      1222824
25.0000 -0.000687018      1224935
35.0000 -0.000606121      1223502
45.0000  0.000210351      1222638
55.0000 -0.000193851      1222734
65.0000  0.000072907      1221560
75.0000 -0.000289425      1221602
85.0000 -0.000422162      1223165
95.0000 -0.000162315      1228294
105.0000 -0.000040408      1222922
115.0000 -0.000057855      1222330
125.0000  0.000017395      1222862
135.0000  0.000322332      1221621
145.0000  0.000028776      1222725
155.0000 -0.000043500      1224533
165.0000 -0.000249059      1224040
175.0000  0.000009812      1221639
