#   delphi     C(delphi)    Nphi
 5.0000 -0.000073982      1224113
15.0000  0.000370134      1224043
25.0000 -0.000177691      1225471
35.0000 -0.000994220      1224986
45.0000 -0.000225453      1225884
55.0000 -0.000451891      1224941
65.0000  0.000018500      1223406
75.0000 -0.000129548      1223462
85.0000 -0.000268725      1223621
95.0000  0.000100894      1222834
105.0000  0.000016070      1225879
115.0000 -0.000091589      1226769
125.0000  0.000095917      1224435
135.0000  0.000066168      1226226
145.0000  0.000028212      1225117
155.0000 -0.000177176      1222431
165.0000 -0.000023702      1223281
175.0000  0.000081538      1223735
