#   dely     C(y)    Ny
 0.0500  0.000050320      2843792
 0.1500 -0.000083601      2749358
 0.2500 -0.000025286      2589894
 0.3500 -0.000040916      2388891
 0.4500 -0.000276655      2162774
 0.5500 -0.000106091      1930031
 0.6500  0.000253859      1694276
 0.7500 -0.000354236      1453735
 0.8500 -0.000105165      1218758
 0.9500 -0.000141950       985066
 1.0500 -0.000085714       759856
 1.1500 -0.000210156       548915
 1.2500 -0.000041592       362137
 1.3500  0.000196962       209675
 1.4500  0.000181348       100366
 1.5500 -0.000372950        33069
 1.6500  0.000124923         4944
 1.7500 -0.008974272           93
 1.8500         -nan            0
 1.9500         -nan            0
