#   dely     C(y)    Ny
 0.0500 -0.000010979      2845243
 0.1500  0.000191046      2749408
 0.2500 -0.000109668      2590684
 0.3500 -0.000114750      2389645
 0.4500 -0.000032783      2163223
 0.5500  0.000058580      1929552
 0.6500 -0.000169343      1692724
 0.7500  0.000255467      1453935
 0.8500  0.000141461      1217507
 0.9500  0.000080719       982495
 1.0500 -0.000029996       758617
 1.1500 -0.000212131       547118
 1.2500  0.000012799       360924
 1.3500 -0.000181793       209802
 1.4500 -0.000137620        99576
 1.5500 -0.000283352        32831
 1.6500  0.000935843         5014
 1.7500  0.001644422           94
 1.8500         -nan            0
 1.9500         -nan            0
