#   dely     C(y)    Ny
 0.0500  0.000369255      2841054
 0.1500 -0.000087609      2749472
 0.2500  0.000159635      2590702
 0.3500 -0.000132751      2391119
 0.4500 -0.000125477      2163527
 0.5500 -0.000211694      1927086
 0.6500 -0.000084055      1691252
 0.7500  0.000051662      1453640
 0.8500  0.000053269      1216764
 0.9500 -0.000261440       983395
 1.0500 -0.000126694       759493
 1.1500 -0.000056802       547874
 1.2500  0.000209657       360995
 1.3500  0.000462756       209749
 1.4500 -0.000237634        99729
 1.5500 -0.000405969        33194
 1.6500 -0.000209271         5034
 1.7500  0.000689884           88
 1.8500         -nan            0
 1.9500         -nan            0
