#   dely     C(y)    Ny
 0.0500 -0.000118324      2843362
 0.1500 -0.000239136      2749273
 0.2500 -0.000385429      2588646
 0.3500 -0.000042527      2387843
 0.4500 -0.000288185      2162405
 0.5500  0.000090787      1929385
 0.6500 -0.000039069      1691389
 0.7500 -0.000072498      1454761
 0.8500 -0.000186814      1216887
 0.9500 -0.000168784       983819
 1.0500  0.000021168       759739
 1.1500  0.000159537       547763
 1.2500  0.000005652       361879
 1.3500  0.000152986       209147
 1.4500 -0.000069947       100533
 1.5500 -0.000299429        32979
 1.6500 -0.000236453         5097
 1.7500  0.000006352           82
 1.8500         -nan            0
 1.9500         -nan            0
