#   dely     C(y)    Ny
 0.0500  0.000381239       299753
 0.1500  0.000234657       290450
 0.2500  0.000488007       271468
 0.3500  0.000337324       248705
 0.4500 -0.000329588       223232
 0.5500  0.000185937       197125
 0.6500 -0.000325337       170839
 0.7500 -0.000615681       144500
 0.8500 -0.000312805       118686
 0.9500  0.000190198        92899
 1.0500  0.000437266        68437
 1.1500  0.000055531        46258
 1.2500 -0.000675124        27616
 1.3500 -0.000169246        14005
 1.4500  0.001256747         5243
 1.5500 -0.002681536         1196
 1.6500 -0.005488080          101
 1.7500         -nan            0
 1.8500         -nan            0
 1.9500         -nan            0
