#   dely     C(y)    Ny
 0.0500  0.000550750       300348
 0.1500  0.000076198       289930
 0.2500 -0.000067849       270724
 0.3500 -0.000242959       248411
 0.4500  0.000270537       223581
 0.5500 -0.000386134       197541
 0.6500 -0.000201388       170431
 0.7500 -0.000000182       143892
 0.8500  0.000492949       118970
 0.9500  0.000417004        92927
 1.0500  0.000177518        69114
 1.1500  0.000125800        46467
 1.2500  0.000044935        27905
 1.3500 -0.000521377        14132
 1.4500 -0.001537911         5190
 1.5500  0.002772482         1201
 1.6500  0.005672114           98
 1.7500  0.000000000            1
 1.8500         -nan            0
 1.9500         -nan            0
