#   delphi     C(delphi)    Nphi
 5.0000  0.001276920       123977
15.0000 -0.000166897       123531
25.0000  0.000739262       123205
35.0000 -0.000236411       123751
45.0000  0.000288372       124072
55.0000 -0.000652286       122958
65.0000  0.000304472       122797
75.0000 -0.000123949       123298
85.0000 -0.000028981       123229
95.0000  0.000037964       122995
105.0000  0.000127273       123646
115.0000 -0.000462970       122720
125.0000 -0.000056137       123518
135.0000 -0.000334178       123706
145.0000  0.000295314       123536
155.0000 -0.000724940       123628
165.0000 -0.000431490       123456
175.0000 -0.000480540       123264
