#   delphi     C(delphi)    Nphi
 5.0000  0.001105008       122965
15.0000  0.000279644       123071
25.0000  0.000958135       123391
35.0000  0.000192937       123776
45.0000  0.000083526       122792
55.0000  0.000130342       123658
65.0000 -0.000370241       123490
75.0000  0.000463866       123787
85.0000 -0.000054504       123980
95.0000  0.000126062       123313
105.0000 -0.000559923       123358
115.0000  0.000541787       123640
125.0000 -0.000498064       123156
135.0000  0.000067290       122555
145.0000  0.000071741       123744
155.0000  0.000151318       122874
165.0000 -0.000149271       123357
175.0000 -0.000021390       123397
