#   dely     C(y)    Ny
 0.0500  0.000134989       299802
 0.1500 -0.000034946       289373
 0.2500  0.000187556       271827
 0.3500 -0.000003103       248802
 0.4500 -0.000291655       222504
 0.5500 -0.000376925       197487
 0.6500  0.000448942       170791
 0.7500  0.000656888       144860
 0.8500 -0.000297219       118552
 0.9500 -0.000338223        93111
 1.0500  0.000743261        68869
 1.1500 -0.000264375        46892
 1.2500 -0.001030770        27919
 1.3500  0.000980763        13650
 1.4500  0.000521191         5223
 1.5500 -0.001750120         1225
 1.6500  0.004176374           85
 1.7500         -nan            0
 1.8500         -nan            0
 1.9500         -nan            0
