#   dely     C(y)    Ny
 0.0500 -0.000190831       300629
 0.1500 -0.000378363       289682
 0.2500 -0.000400565       270692
 0.3500  0.000022753       248414
 0.4500 -0.000092007       222730
 0.5500  0.000128078       197478
 0.6500 -0.000722270       171027
 0.7500 -0.000154870       144982
 0.8500  0.000409800       119192
 0.9500  0.000097715        93351
 1.0500 -0.000568341        68855
 1.1500 -0.000232712        46514
 1.2500 -0.001756534        27732
 1.3500 -0.000430984        13818
 1.4500 -0.001289083         5324
 1.5500  0.000003235         1238
 1.6500 -0.005811107          108
 1.7500         -nan            0
 1.8500         -nan            0
 1.9500         -nan            0
