#   dely     C(y)    Ny
 0.0500  0.000572230       300364
 0.1500 -0.000250968       289481
 0.2500  0.000393585       271281
 0.3500  0.000023719       248265
 0.4500  0.000065592       222676
 0.5500  0.000259542       196917
 0.6500 -0.000593383       170564
 0.7500  0.000508612       144535
 0.8500  0.000186377       119044
 0.9500  0.000767318        93421
 1.0500 -0.000270244        68864
 1.1500  0.000046565        46431
 1.2500  0.000672394        27750
 1.3500 -0.001436255        13949
 1.4500  0.000815048         5299
 1.5500 -0.004077552         1266
 1.6500 -0.003987373           95
 1.7500  0.000000000            1
 1.8500         -nan            0
 1.9500         -nan            0
