#   delphi     C(delphi)    Nphi
 5.0000 -0.000170951       123201
15.0000 -0.000390562       123105
25.0000 -0.000029612       123476
35.0000 -0.000893967       123545
45.0000 -0.000400027       123708
55.0000 -0.000418634       123745
65.0000  0.000018745       123000
75.0000 -0.000667756       123445
85.0000  0.000290461       123430
95.0000 -0.000670446       124089
105.0000  0.000312155       123116
115.0000 -0.000276917       122874
125.0000 -0.000032864       123554
135.0000  0.000297350       123812
145.0000  0.000633258       123546
155.0000 -0.000190272       122386
165.0000 -0.000079914       123449
175.0000 -0.000237846       124696
