#   delphi     C(delphi)    Nphi
 5.0000  0.000968911       123361
15.0000  0.001169169       123534
25.0000  0.001297582       123965
35.0000  0.000236982       122923
45.0000  0.000378766       122986
55.0000  0.000694453       123354
65.0000  0.000115482       123171
75.0000  0.000357883       123530
85.0000 -0.000300178       123305
95.0000 -0.000193361       123237
105.0000  0.000089502       123023
115.0000 -0.000109120       123521
125.0000 -0.000008373       123263
135.0000 -0.000189228       123546
145.0000  0.000615602       123417
155.0000  0.000217593       123360
165.0000 -0.000267694       123003
175.0000  0.000021094       123257
