#   q     Cout       Nout      Cside       Nside       Clong        Nlong
181.250 -0.006392525            5  0.050371789            7 -0.012941760            4 -0.003204789         1289
183.750 -0.005580096            4  0.001437368            2 -0.000082895            6 -0.001456133         1313
186.250         -nan            0 -0.000589727            8 -0.002164303            3  0.004538053         1320
188.750 -0.001787873            1  0.000472622            3 -0.002108820            4  0.004317987         1320
191.250 -0.001456395            8 -0.108431195           11  0.002657264            6 -0.000572749         1433
193.750  0.242426014            4 -0.085734970            8  0.025881588            5 -0.000034769         1482
196.250 -0.013471180            4  0.000349895            5  0.000786296            4 -0.000488815         1447
198.750 -0.000744312            3  0.000949677            4  0.000188780            3 -0.006369143         1479
201.250  0.037273041            5 -0.005990810            5  0.000421124            4  0.009734817         1513
203.750  0.093119646            3 -0.000000116            6  0.008934975            5  0.003008300         1520
206.250  0.005358590            1  0.018438809            3 -0.000576418            3 -0.002283016         1653
208.750  0.052662335            2 -0.000028067            9 -0.005204139            2  0.002578383         1704
211.250 -0.039723363            4 -0.002974528            7 -0.183288705            5  0.000686137         1639
213.750  0.035709653            2 -0.072018394            5  0.003707787            3  0.001355576         1662
216.250  0.627973703            3 -0.002451169            5  0.001031458            3 -0.000176679         1725
218.750  0.003447599            1 -0.002648159            6  0.023423174            4  0.000445201         1767
221.250 -0.002621215            1  0.000000000            4 -0.000338622            5 -0.000093357         1794
223.750  0.039968268            2  0.006016614            6  0.016662297            6  0.002095039         1805
226.250  0.001331809            5 -0.024876419            9  0.000867439            2 -0.006418274         1803
228.750 -0.014960278            3  0.032585738            9 -0.002064842            5  0.001309607         1789
231.250  0.002650062            6  0.000041005            5 -0.204237988            4  0.013067960         1831
233.750 -0.001921186            2  0.003145874            8  0.000818158            6 -0.001129539         2020
236.250  0.000000000            1  0.303256740            2  0.041824333            5 -0.000678374         2005
238.750  0.021131303            2 -0.000781132            7 -0.002443092            5  0.006755642         1923
241.250  0.001328502            4  0.000830583            6 -0.000138115            5 -0.005313383         2043
243.750  0.002062884            4 -0.000875260           13         -nan            0 -0.004352816         2068
246.250         -nan            0 -0.104116639            7 -0.000048394            2 -0.000532882         2138
248.750         -nan            0 -0.000222196            3  0.000213643            4  0.002216244         2100
251.250  0.041846128            4  0.000684888            5  0.001497653            1 -0.001331684         2081
253.750 -0.000276064            1 -0.000078861            3 -0.005584770            7 -0.006916006         2161
256.250  0.000532455            3  0.000501617            5  0.000049678            5 -0.005724533         2220
258.750 -0.004900978            4  0.000065708            6 -0.000067511            4  0.000233393         2251
261.250 -0.000801188            1  0.079869751            4 -0.000066422            3 -0.002361923         2335
263.750         -nan            0  0.000147265            8  0.011851275            7 -0.003633276         2242
266.250 -0.053147164            1  0.000822570            9  0.000000000            1 -0.001521497         2391
