   1.25   0.18757156  550728.00000000    0.00051978    0.14959439  517036.00000000    0.00063168    0.18164903  526919.00000000    0.00038613   -0.16458215 19330.00000000   0.00163523
   3.75   0.18635969  536133.00000000    0.00067270    0.17858603  516767.00000000    0.00056940    0.20059175  523564.00000000    0.00067131    0.13688646 132005.00000000   0.00066390
   6.25   0.17789928  520944.00000000    0.00068582    0.18691062  516639.00000000    0.00035280    0.19420575  518710.00000000    0.00059512    0.20679652 353579.00000000   0.00055840
   8.75   0.16170383  509502.00000000    0.00045548    0.17761673  514942.00000000    0.00047016    0.16817920  514212.00000000    0.00067144    0.18134567 671361.00000000   0.00051332
  11.25   0.14031651  496951.00000000    0.00061114    0.15655632  516014.00000000    0.00081838    0.13209134  510010.00000000    0.00059877    0.13540569 1081967.00000000   0.00051639
  13.75   0.11748847  483637.00000000    0.00080275    0.12852880  516497.00000000    0.00076186    0.09813986  504480.00000000    0.00069282    0.09187081 1576423.00000000   0.00034436
  16.25   0.09206542  472415.00000000    0.00058953    0.09854452  516649.00000000    0.00051234    0.06805645  500562.00000000    0.00092755    0.05931345 2148202.00000000   0.00035313
  18.75   0.06865038  460046.00000000    0.00065927    0.07178690  516356.00000000    0.00055806    0.04331120  493826.00000000    0.00076069    0.03566891 2787390.00000000   0.00031095
  21.25   0.04890762  449041.00000000    0.00072429    0.04744802  516352.00000000    0.00074684    0.02756823  488684.00000000    0.00076485    0.02036648 3487296.00000000   0.00023837
  23.75   0.03016254  436147.00000000    0.00070749    0.02982174  514265.00000000    0.00071855    0.01641582  483791.00000000    0.00074697    0.01082695 4243683.00000000   0.00024967
  26.25   0.01829596  427355.00000000    0.00101461    0.01814530  516481.00000000    0.00063075    0.00799584  479243.00000000    0.00060269    0.00465266 5052004.00000000   0.00025752
  28.75   0.00872405  415409.00000000    0.00085253    0.00956423  518558.00000000    0.00074450    0.00576863  473878.00000000    0.00080569    0.00163066 5905536.00000000   0.00017865
  31.25   0.00178669  404360.00000000    0.00078671    0.00482725  515271.00000000    0.00072412    0.00218767  467712.00000000    0.00074490    0.00022121 6783415.00000000   0.00020116
  33.75  -0.00275544  394932.00000000    0.00062471    0.00127432  516970.00000000    0.00076895   -0.00095832  463068.00000000    0.00083309   -0.00106123 7699373.00000000   0.00018624
  36.25  -0.00537429  385364.00000000    0.00065625    0.00002514  515689.00000000    0.00057434    0.00056899  458374.00000000    0.00070644   -0.00111419 8641241.00000000   0.00019390
  38.75  -0.00937234  375301.00000000    0.00074733   -0.00037190  516808.00000000    0.00058811   -0.00063146  452911.00000000    0.00062293   -0.00101394 9611610.00000000   0.00014211
