#   delphi     C(delphi)    Nphi
 5.0000  0.001117396     26573140
15.0000 -0.000053967     26581795
25.0000 -0.000120823     26575653
35.0000 -0.000140962     26578859
45.0000 -0.000161005     26575034
55.0000 -0.000135393     26569247
65.0000 -0.000037984     26563548
75.0000 -0.000138383     26578524
85.0000 -0.000008437     26583942
95.0000 -0.000097901     26576036
105.0000 -0.000110987     26581599
115.0000 -0.000031203     26582712
125.0000 -0.000019074     26583582
135.0000 -0.000011760     26586811
145.0000 -0.000014240     26570786
155.0000 -0.000012295     26573217
165.0000 -0.000071347     26575880
175.0000 -0.000012319     26584688
