#   dely     C(y)    Ny
 0.0500  0.000499344     54315966
 0.1500 -0.000044164     51665544
 0.2500 -0.000073304     48531920
 0.3500 -0.000062978     45282106
 0.4500 -0.000095689     41958097
 0.5500 -0.000108292     38559895
 0.6500 -0.000041698     35112526
 0.7500 -0.000016183     31624101
 0.8500  0.000006341     28130375
 0.9500 -0.000016899     24630743
 1.0500  0.000007778     21156114
 1.1500 -0.000081071     17707733
 1.2500  0.000033445     14325986
 1.3500 -0.000062012     11008361
 1.4500 -0.000067521      7772777
 1.5500  0.000003267      4646055
 1.6500 -0.000014744      1805924
 1.7500 -0.000080986       187884
 1.8500         -nan            0
 1.9500         -nan            0
