#   delphi     C(delphi)    Nphi
 5.0000  0.001174955     26585032
15.0000 -0.000172294     26576856
25.0000 -0.000134427     26582738
35.0000 -0.000045340     26584645
45.0000 -0.000117696     26564755
55.0000 -0.000006212     26573810
65.0000 -0.000069715     26581225
75.0000  0.000056192     26577545
85.0000 -0.000035968     26581344
95.0000 -0.000026688     26578039
105.0000  0.000031346     26574078
115.0000 -0.000119267     26578621
125.0000 -0.000038163     26577971
135.0000  0.000068686     26577217
145.0000 -0.000030665     26574299
155.0000  0.000002198     26581207
165.0000 -0.000040537     26583152
175.0000 -0.000038174     26577991
