#   dely     C(y)    Ny
 0.0500  0.000566647     54334128
 0.1500  0.000000801     51654776
 0.2500 -0.000130351     48536442
 0.3500 -0.000099004     45292623
 0.4500 -0.000203508     41964801
 0.5500 -0.000064455     38563310
 0.6500  0.000023652     35113581
 0.7500 -0.000112815     31619325
 0.8500 -0.000074261     28120052
 0.9500 -0.000066992     24630426
 1.0500 -0.000066754     21154938
 1.1500 -0.000040085     17704272
 1.2500 -0.000001640     14319228
 1.3500 -0.000167721     11002588
 1.4500 -0.000161515      7777795
 1.5500 -0.000060041      4652475
 1.6500  0.000130466      1807183
 1.7500  0.000192694       188545
 1.8500         -nan            0
 1.9500         -nan            0
