#   dely     C(y)    Ny
 0.0500  0.000407556     54333767
 0.1500 -0.000085958     51662729
 0.2500 -0.000070877     48529541
 0.3500 -0.000091957     45289585
 0.4500 -0.000060089     41952136
 0.5500 -0.000057690     38554184
 0.6500 -0.000070905     35119868
 0.7500 -0.000017129     31626060
 0.8500 -0.000032633     28125543
 0.9500 -0.000123649     24625407
 1.0500 -0.000038493     21152672
 1.1500 -0.000105987     17715478
 1.2500 -0.000091000     14322407
 1.3500 -0.000099311     11005079
 1.4500  0.000073107      7774283
 1.5500  0.000017449      4655555
 1.6500 -0.000045650      1806947
 1.7500  0.000087847       188438
 1.8500         -nan            0
 1.9500         -nan            0
