#   delphi     C(delphi)    Nphi
 5.0000  0.001122072     26585031
15.0000 -0.000202292     26574763
25.0000 -0.000267216     26576083
35.0000 -0.000066882     26576568
45.0000 -0.000034578     26578064
55.0000 -0.000138577     26575303
65.0000 -0.000135491     26584234
75.0000 -0.000040719     26581680
85.0000 -0.000093087     26580530
95.0000 -0.000087247     26571488
105.0000 -0.000030064     26579002
115.0000 -0.000072891     26577916
125.0000 -0.000124949     26580853
135.0000 -0.000019895     26578796
145.0000 -0.000032318     26572968
155.0000 -0.000023240     26579115
165.0000  0.000039789     26565288
175.0000  0.000010327     26579915
