#   delphi     C(delphi)    Nphi
 5.0000  0.001055144     26576009
15.0000 -0.000118462     26577298
25.0000 -0.000125130     26585533
35.0000 -0.000186349     26569499
45.0000 -0.000150371     26575756
55.0000 -0.000064044     26576030
65.0000 -0.000056682     26581766
75.0000  0.000018236     26580483
85.0000 -0.000048097     26574561
95.0000 -0.000019193     26582736
105.0000 -0.000050483     26570715
115.0000 -0.000036169     26580800
125.0000  0.000010169     26579832
135.0000 -0.000030242     26586981
145.0000 -0.000050950     26578330
155.0000 -0.000032344     26576104
165.0000 -0.000044286     26571910
175.0000 -0.000034322     26579885
