#   delphi     C(delphi)    Nphi
 5.0000  0.000975434     26570356
15.0000 -0.000149726     26568435
25.0000 -0.000137079     26585459
35.0000  0.000044994     26578980
45.0000 -0.000134277     26574440
55.0000 -0.000054969     26583818
65.0000 -0.000171690     26576878
75.0000 -0.000087682     26574988
85.0000  0.000019195     26566837
95.0000 -0.000088989     26578470
105.0000 -0.000077986     26570952
115.0000  0.000103863     26580093
125.0000 -0.000048165     26571616
135.0000 -0.000107306     26579851
145.0000 -0.000131145     26578554
155.0000 -0.000116468     26584268
165.0000  0.000020155     26579253
175.0000 -0.000077888     26586223
