#   dely     C(y)    Ny
 0.0500 -0.000210707       300907
 0.1500  0.000216182       289966
 0.2500  0.000369560       270927
 0.3500  0.000160505       249110
 0.4500  0.000196177       222891
 0.5500 -0.000668627       196599
 0.6500  0.000649984       170852
 0.7500  0.000299225       144702
 0.8500 -0.000197680       119185
 0.9500 -0.000541759        92892
 1.0500  0.000439795        68720
 1.1500  0.000497275        46547
 1.2500  0.000548487        27683
 1.3500 -0.000900085        13991
 1.4500  0.000284828         5239
 1.5500  0.000482964         1167
 1.6500 -0.001412594           88
 1.7500         -nan            0
 1.8500         -nan            0
 1.9500         -nan            0
