#   dely     C(y)    Ny
 0.0500 -0.000546716       300629
 0.1500 -0.000527673       289682
 0.2500 -0.000180321       270692
 0.3500 -0.000423430       248414
 0.4500  0.000180679       222730
 0.5500 -0.000033806       197478
 0.6500 -0.000330817       171027
 0.7500 -0.000477772       144982
 0.8500  0.000733622       119192
 0.9500 -0.000494000        93351
 1.0500 -0.000694863        68855
 1.1500 -0.000447702        46514
 1.2500 -0.000382406        27732
 1.3500 -0.000462898        13818
 1.4500 -0.000260820         5324
 1.5500 -0.001881092         1238
 1.6500 -0.002685329          108
 1.7500         -nan            0
 1.8500         -nan            0
 1.9500         -nan            0
