#   delphi     C(delphi)    Nphi
 5.0000  0.000701880       123812
15.0000  0.000210855       123335
25.0000  0.000181779       123399
35.0000  0.002022609       123870
45.0000 -0.000048190       123193
55.0000  0.000295618       123453
65.0000  0.000099770       123971
75.0000 -0.000874161       123036
85.0000  0.000369963       123281
95.0000  0.000115257       123391
105.0000  0.000237144       123711
115.0000 -0.000294425       122916
125.0000 -0.000097541       123781
135.0000  0.000322786       123205
145.0000  0.000137817       123402
155.0000 -0.000308539       123143
165.0000  0.000272196       123116
175.0000  0.000520665       122957
