#   delphi     C(delphi)    Nphi
 5.0000 -0.002512451       122717
15.0000 -0.000799510       123683
25.0000  0.001993166       123852
35.0000 -0.000934759       123300
45.0000  0.000381856       123982
55.0000 -0.000840610       123530
65.0000 -0.000632509       123370
75.0000 -0.000674090       123532
85.0000  0.000699941       122824
95.0000  0.000477488       122578
105.0000 -0.000239033       123392
115.0000 -0.000220957       123149
125.0000 -0.000380477       123543
135.0000  0.000486403       123580
145.0000  0.000042640       123240
155.0000  0.000091915       123138
165.0000  0.000396603       123470
175.0000 -0.000259609       122860
